Source,Target,Weight
JON,YGRITTE,159
BRIENNE,JAIME,127
TYRION,TYWIN,115
RAMSAY,THEON,114
CERSEI,TYRION,95
GILLY,SAM,95
ROBB,TALISA,89
SANSA,TYRION,85
ARYA,HOUND,79
DAVOS,STANNIS,77
SHAE,TYRION,75
BRONN,TYRION,71
DAENERYS,JORAH,69
BRAN,OSHA,68
DAENERYS,MISSANDEI,67
BRAN,JOJEN,65
JOFFREY,MARGAERY,64
ARYA,THOROS,63
MARGAERY,SANSA,63
JAIME,LOCKE,59
BARRISTAN,JORAH,57
CERSEI,TYWIN,57
CERSEI,JOFFREY,54
CATELYN,ROBB,52
KRAZNYS_MO_NAKLOZ,MISSANDEI,52
JAIME,QYBURN,51
DAVOS,GENDRY,50
JOFFREY,TYWIN,49
MELISANDRE,STANNIS,49
EDMURE,ROBB,46
GENDRY,MELISANDRE,46
ARYA,GENDRY,45
SANSA,SHAE,45
BRAN,HODOR,39
DAVOS,SHIREEN,38
OLENNA,VARYS,38
RICKARD_KARSTARK,ROBB,38
BARRISTAN,DAENERYS,37
JON,ORELL,37
DAARIO,DAENERYS,36
JON,MANCE,36
LITTLEFINGER,SANSA,36
PODRICK,TYRION,36
OLENNA,TYWIN,35
JON,TORMUND,34
MEERA,OSHA,34
ARYA,BERIC,33
CATELYN,TALISA,33
CERSEI,MARGAERY,33
DAVOS,MELISANDRE,33
ORELL,YGRITTE,32
LORAS,SANSA,31
OLENNA,TYRION,31
OLENNA,SANSA,30
ORELL,TORMUND,30
BRAN,MEERA,29
JAIME,ROOSE_BOLTON,29
TORMUND,YGRITTE,29
BERIC,THOROS,28
DAVOS,SALLADHOR,28
JOJEN,OSHA,28
LITTLEFINGER,TYRION,28
ROBB,WALDER,28
BRYNDEN,CATELYN,27
JOFFREY,TYRION,27
ANGUY,ARYA,26
BRAN,RICKON,26
BERIC,HOUND,25
ROS,VARYS,25
CERSEI,OLENNA,24
JOJEN,MEERA,24
TYRION,VARYS,24
DAENERYS,KRAZNYS_MO_NAKLOZ,23
HODOR,JOJEN,23
ROOSE_BOLTON,WALDER,23
JOFFREY,SANSA,22
MYRANDA,VIOLET,22
SHAE,VARYS,22
LORAS,MARGAERY,21
MARGAERY,OLENNA,21
SELYSE,STANNIS,21
ANGUY,HOUND,20
ANGUY,THOROS,20
BRONN,PODRICK,20
GENDRY,THOROS,20
CATELYN,WALDER,19
DAENERYS,RADZAI_MO_ERAZ,19
JEOR,RAST,19
THEON,TORTURER,19
BRYNDEN,EDMURE,18
BRAN,SAM,17
BRYNDEN,ROBB,17
CRASTER,JEOR,17
DAARIO,JORAH,17
DAARIO,MERO,17
GRENN,RAST,17
HOUND,THOROS,17
ROBB,ROOSE_BOLTON,17
CERSEI,LITTLEFINGER,16
DAENERYS,MERO,16
LITTLEFINGER,VARYS,16
OSHA,RICKON,16
SHIREEN,STANNIS,16
ARYA,HOT_PIE,15
BRIENNE,LOCKE,15
CATELYN,EDMURE,15
CERSEI,LORAS,15
BRAN,CATELYN,14
HODOR,MEERA,14
HODOR,OSHA,14
JAIME,STEELSHANKS_WALTON,14
MANCE,TORMUND,14
MELISANDRE,THOROS,14
CATELYN,ROOSE_BOLTON,13
CRASTER,KARL_TANNER,13
JORAH,MISSANDEI,13
MEERA,RICKON,13
MERO,PRENDAHL,13
RAST,SAM,13
BALON,THEON,12
DAENERYS,GREY_WORM,12
EDDISON_TOLLETT,GRENN,12
EDMURE,ROSLIN,12
GREY_WORM,JORAH,12
JOJEN,SAM,12
MARTYN,TALISA,12
MYRANDA,THEON,12
ROS,SHAE,12
THEON,VIOLET,12
ANGUY,BERIC,11
ANGUY,GENDRY,11
BALON,YARA,11
EDDISON_TOLLETT,RAST,11
JAIME,TYWIN,11
LORAS,OLYVAR,11
SANSA,TYWIN,11
CERSEI,JAIME,10
CERSEI,MERYN_TRANT,10
EDMURE,WALDER,10
GILLY,MAESTER_AEMON,10
JEOR,SAM,10
LOCKE,ROOSE_BOLTON,10
LORAS,OLENNA,10
LORAS,TYRION,10
MAESTER_AEMON,SAM,10
MANCE,ORELL,10
MANCE,YGRITTE,10
MERYN_TRANT,TYRION,10
TALISA,WALDER,10
TYWIN,VARYS,10
BRIENNE,ROOSE_BOLTON,9
GENDRY,HOT_PIE,9
GENDRY,STANNIS,9
GRENN,SAM,9
HODOR,RICKON,9
JOJEN,RICKON,9
LITTLE_SAM,GILLY,9
LITTLE_SAM,SAM,9
LORAS,TYWIN,9
PYCELLE,TYRION,9
ROBB,TYWIN,9
ROOSE_BOLTON,TYWIN,9
BLACK_WALDER,ROBB,8
BRAN,JON,8
BRONN,MERYN_TRANT,8
BRYNDEN,ROOSE_BOLTON,8
BRYNDEN,TALISA,8
CATELYN,JAIME,8
CRASTER,RAST,8
DAENERYS,PRENDAHL,8
EDDISON_TOLLETT,SAM,8
EDMURE,TALISA,8
FARMER,JON,8
GILLY,MEERA,8
HODOR,SAM,8
JEOR,KARL_TANNER,8
JOFFREY,LORAS,8
JOFFREY,OLENNA,8
JON,SAM,8
MEERA,SAM,8
MERYN_TRANT,TARYN_MANT,8
ROSLIN,WALDER,8
BARRISTAN,MISSANDEI,7
BERIC,GENDRY,7
CATELYN,HOSTER,7
CERSEI,PYCELLE,7
CERSEI,SANSA,7
DAARIO,MISSANDEI,7
DAARIO,PRENDAHL,7
EDMURE,LOTHAR,7
FARMER,TORMUND,7
GRENN,JEOR,7
PYCELLE,TYWIN,7
ROOSE_BOLTON,TALISA,7
SANSA,VARYS,7
THEON,YARA,7
BARRISTAN,DAARIO,6
BERIC,MELISANDRE,6
BRIENNE,CATELYN,6
BRYNDEN,WALDER,6
CATELYN,JOYEUSE,6
DAARIO,GREY_WORM,6
EDDISON_TOLLETT,JEOR,6
FARMER,YGRITTE,6
HOT_PIE,THOROS,6
JAIME,RENLY,6
JORAH,MERO,6
MACE,OLENNA,6
MERO,MISSANDEI,6
NED,SANSA,6
ROBB,ROSLIN,6
ROBB,THEON,6
ARYA,MELISANDRE,5
BARRISTAN,GREY_WORM,5
BARRISTAN,ROBERT,5
BLACK_WALDER,EDMURE,5
BLACK_WALDER,LOTHAR,5
BRAN,NED,5
BRYNDEN,RICKARD_KARSTARK,5
CATELYN,RICKARD_KARSTARK,5
CERSEI,VARYS,5
CRASTER,SAM,5
GENDRY,HOUND,5
HOSTER,ROBB,5
JOFFREY,NED,5
JOFFREY,PYCELLE,5
JOJEN,JON,5
JON,PYP,5
JORAH,KRAZNYS_MO_NAKLOZ,5
JORAH,ROBERT,5
MARGAERY,TYRION,5
MARTYN,WILLEM_LANNISTER,5
PYP,SAM,5
RAMSAY,ROOSE_BOLTON,5
RANDYLL,SAM,5
ROBB,SANSA,5
ARYA,CERSEI,4
ARYA,JOFFREY,4
BALON,RAMSAY,4
BRAN,ORELL,4
BRAN,ROBB,4
BRONN,JOFFREY,4
CATELYN,ROSLIN,4
CERSEI,TARYN_MANT,4
EDMURE,FREY_SEPTON,4
EDMURE,RICKARD_KARSTARK,4
FARMER,ORELL,4
GILLY,JOJEN,4
GREIZHEN,MISSANDEI,4
JAIME,TYRION,4
JOFFREY,MERYN_TRANT,4
JOFFREY,VARYS,4
JOYEUSE,ROBB,4
JOYEUSE,TALISA,4
JOYEUSE,WALDER,4
LITTLEFINGER,PYCELLE,4
LITTLEFINGER,TYWIN,4
LOCKE,TYWIN,4
LORD_OF_BONES,MANCE,4
LORD_OF_BONES,TORMUND,4
LORD_OF_BONES,YGRITTE,4
LOTHAR,WALDER,4
MAREI,TYRION,4
MARGAERY,RENLY,4
MARGAERY,TYWIN,4
MELISANDRE,ROBERT,4
PYCELLE,VARYS,4
QYBURN,ROOSE_BOLTON,4
QYBURN,TALISA,4
RAMSAY,YARA,4
RICKARD_KARSTARK,ROOSE_BOLTON,4
ROBERT,STANNIS,4
ROSLIN,TALISA,4
SORCERER,VARYS,4
TARYN_MANT,TYRION,4
AERYS,BARRISTAN,3
AERYS,ROBERT,3
ANGUY,MELISANDRE,3
BERIC,MOUNTAIN,3
BERIC,NED,3
BLACK_WALDER,BRYNDEN,3
BLACK_WALDER,CATELYN,3
BRAN,GILLY,3
BRANDON_STARK,CATELYN,3
BRANDON_STARK,JOJEN,3
BRIENNE,SELWYN,3
BRONN,CERSEI,3
BRONN,SANSA,3
BRYNDEN,LOTHAR,3
CATELYN,TYRION,3
CRASTER,GRENN,3
DAENERYS,GREIZHEN,3
