Source,Target,Weight
CERSEI,TYRION,177
DAENERYS,JORAH,119
ARYA,JAQEN,113
DAVOS,STANNIS,111
JON,YGRITTE,110
ROBB,TALISA,108
ARYA,TYWIN,103
TYRION,VARYS,103
SHAE,TYRION,95
BRONN,TYRION,87
THEON,YARA,87
CATELYN,ROBB,82
DAENERYS,XARO,80
JOFFREY,TYRION,79
ARYA,GENDRY,78
CERSEI,SANSA,73
JON,QHORIN,71
SANSA,SHAE,60
BALON,THEON,59
DAENERYS,SPICE_KING,58
DAVOS,MATTHOS,57
MELISANDRE,STANNIS,57
BRAN,OSHA,56
JOFFREY,SANSA,56
BRIENNE,CATELYN,54
CERSEI,JOFFREY,50
BRIENNE,JAIME,49
PYCELLE,TYRION,49
DAGMER,THEON,48
HOUND,JOFFREY,48
MAESTER_LUWIN,THEON,48
BRAN,THEON,47
ALTON,JAIME,46
ARYA,HOT_PIE,43
DAVOS,MELISANDRE,40
HOUND,SANSA,40
RENLY,STANNIS,40
JANOS,TYRION,39
JON,SAM,39
LORAS,TYRION,38
JEOR,JON,37
LANCEL,TYRION,37
PODRICK,TYRION,37
OSHA,THEON,36
MARGAERY,RENLY,35
EDDISON_TOLLETT,SAM,34
GRENN,SAM,34
ROBB,ROOSE_BOLTON,34
LITTLEFINGER,TYRION,33
BRAN,RICKON,32
BRIENNE,RENLY,31
DAENERYS,KOVARRO,31
JAIME,ROBB,31
CATELYN,RENLY,30
BRAN,MAESTER_LUWIN,29
CRASTER,JEOR,29
HOUND,TYRION,29
BRAN,HODOR,28
GENDRY,HOT_PIE,28
LITTLEFINGER,MARGAERY,28
LITTLEFINGER,TYWIN,28
QHORIN,YGRITTE,28
CERSEI,LITTLEFINGER,27
DAVOS,SALLADHOR,27
EDDISON_TOLLETT,GRENN,27
CATELYN,JAIME,25
CERSEI,TOMMEN,25
SANSA,TYRION,25
CATELYN,LITTLEFINGER,24
CERSEI,LANCEL,24
GILLY,SAM,24
LORAS,RENLY,24
DAENERYS,PYATT_PREE,23
LORAS,MARGAERY,23
RODRIK,THEON,23
ALTON,ROBB,22
HODOR,OSHA,22
ROS,VARYS,22
BLACK_LORREN,THEON,21
CERSEI,SHAE,21
MATTHOS,STANNIS,21
ROBB,THEON,21
ARYA,YOREN,20
DAENERYS,DOREAH,20
LITTLEFINGER,RENLY,20
SPICE_KING,XARO,20
STANNIS,TYRION,20
BRAN,RODRIK,18
JORAH,QUAITHE,18
CAPTAINS_DAUGHTER,THEON,17
CATELYN,RICKARD_KARSTARK,17
CERSEI,PYCELLE,17
CRASTER,JON,17
DAISY,ROS,17
AMORY,ARYA,16
ARYA,RORGE,16
CRESSEN,DAVOS,16
HODOR,RICKON,16
LORD_OF_BONES,YGRITTE,16
BALON,YARA,15
CERSEI,TYWIN,15
DAENERYS,IRRI,15
JORAH,KOVARRO,15
LITTLEFINGER,LORAS,15
OSHA,RICKON,15
AMORY,TYWIN,14
MAESTER_LUWIN,OSHA,14
MATTHOS,SALLADHOR,14
BRONN,HOUND,13
